Date,AAPL,GOOGL,AMZN,TSLA,MSFT
2024-08-07,218.92,176.55,214.92,188.41,424.06
2024-08-08,221.5,177.5,213.69,190.38,427.05
2024-08-09,224.8,176.76,212.08,190.48,432.97
2024-08-12,226.7,182.89,211.93,189.66,433.31
2024-08-13,227.55,181.63,208.9,196.98,439.1
2024-08-14,227.23,181.06,210.63,194.19,445.25
2024-08-15,225.56,182.62,218.53,195.46,446.58
2024-08-16,221.75,176.14,209.95,191.09,444.53
2024-08-19,230.24,178.54,211.45,194.11,440.87
2024-08-20,228.69,177.93,202.6,191.35,438.76
2024-08-21,225.4,174.22,204.21,193.46,440.97
2024-08-22,225.15,173.2,196.6,194.16,447.7
2024-08-23,227.32,176.29,194.28,189.18,457.89
2024-08-26,231.12,177.1,194.96,203.16,447.19
2024-08-27,230.37,169.88,190.28,200.45,448.62
2024-08-28,229.76,171.09,190.8,203.79,444.24
2024-08-29,226.91,170.35,193.11,207.63,449.7
2024-08-30,226.07,170.95,195.94,200.07,443.56
2024-09-02,229.29,167.73,191.38,201.92,450.06
2024-09-03,229.15,170.3,194.13,198.45,459.17
2024-09-04,227.9,172.87,192.38,193.68,442.95
2024-09-05,228.61,173.3,194.31,191.06,452.67
2024-09-06,225.84,173.39,198.28,212.13,452.18
2024-09-09,218.14,176.39,196.43,215.57,448.52
2024-09-10,216.53,177.74,198.15,211.22,447.22
2024-09-11,206.26,177.11,195.62,211.05,447.03
2024-09-12,205.47,176.69,191.7,216.51,449.27
2024-09-13,206.91,178.0,195.82,225.16,454.48
2024-09-16,210.26,182.98,191.03,228.01,455.45
2024-09-17,212.13,181.77,195.13,224.9,454.55
2024-09-18,212.34,180.66,198.75,228.93,450.65
2024-09-19,208.94,182.91,194.37,222.72,456.58
2024-09-20,205.35,181.54,192.73,215.67,453.91
2024-09-23,204.74,179.09,192.64,226.12,451.49
2024-09-24,201.99,176.33,188.26,219.22,450.45
2024-09-25,198.96,180.24,188.37,221.52,438.99
2024-09-26,199.18,178.0,186.51,235.23,451.97
2024-09-27,196.55,177.45,185.65,242.05,450.59
2024-09-30,190.92,173.55,181.32,228.86,450.16
2024-10-01,190.33,173.41,177.82,234.75,445.52
2024-10-02,187.51,172.42,177.11,226.9,443.33
2024-10-03,189.14,172.04,178.5,221.76,444.98
2024-10-04,193.13,171.01,181.15,228.26,436.22
2024-10-07,195.56,171.16,174.94,236.13,433.78
2024-10-08,197.0,170.75,173.9,243.05,428.48
2024-10-09,201.38,170.28,180.44,261.36,434.67
2024-10-10,198.3,168.56,181.38,272.65,443.09
2024-10-11,196.55,166.91,176.72,279.58,445.36
2024-10-14,197.21,169.1,174.53,280.04,443.78
2024-10-15,196.04,168.84,175.48,286.89,442.12
2024-10-16,196.57,171.91,178.38,305.67,457.01
2024-10-17,195.46,170.87,182.26,310.59,464.93
2024-10-18,194.72,169.48,188.43,309.28,473.28
2024-10-21,193.47,172.24,189.99,298.62,469.06
2024-10-22,195.85,171.93,192.72,296.98,469.33
2024-10-23,195.35,171.24,198.83,309.03,469.34
2024-10-24,191.33,170.4,206.34,321.17,459.84
2024-10-25,191.03,174.03,206.39,330.04,461.51
2024-10-28,189.25,174.23,207.43,323.61,473.24
2024-10-29,193.7,175.99,214.29,327.86,478.09
2024-10-30,194.9,178.95,215.56,323.02,477.19
2024-10-31,198.94,180.18,212.89,307.61,483.33
2024-11-01,199.37,177.4,215.09,312.64,496.11
2024-11-04,202.39,178.48,213.75,296.01,491.06
2024-11-05,204.95,182.03,217.73,294.14,491.23
2024-11-06,206.86,184.49,216.0,297.99,478.13
2024-11-07,201.18,185.2,224.13,295.76,474.05
2024-11-08,201.9,183.86,224.07,297.22,482.58
2024-11-11,206.38,186.47,224.28,307.15,490.5
2024-11-12,206.51,181.4,225.64,302.96,501.08
2024-11-13,210.46,184.43,219.98,295.69,510.65
2024-11-14,208.93,188.04,222.66,315.16,518.48
2024-11-15,207.99,185.67,227.22,304.44,514.64
2024-11-18,210.36,186.03,216.55,317.72,502.12
2024-11-19,205.69,181.14,215.95,293.09,505.17
2024-11-20,211.28,181.06,216.73,303.69,504.15
2024-11-21,210.43,179.51,216.15,300.55,516.59
2024-11-22,214.94,176.04,219.1,303.05,502.09
2024-11-25,212.97,176.8,217.78,298.25,504.29
2024-11-26,215.62,181.23,217.29,292.53,503.4
2024-11-27,214.27,183.89,217.41,293.63,499.88
2024-11-28,209.08,182.84,220.03,296.47,490.62
2024-11-29,207.75,186.93,216.39,288.41,497.57
2024-12-02,207.46,189.61,219.25,293.19,494.39
2024-12-03,209.14,195.5,215.91,295.34,493.94
2024-12-04,206.58,194.78,219.29,304.85,478.31
2024-12-05,208.38,197.68,218.2,296.05,486.47
2024-12-06,207.6,203.45,211.17,284.97,488.16
2024-12-09,201.11,197.76,212.57,294.61,491.37
2024-12-10,204.36,200.1,211.19,278.53,487.27
2024-12-11,207.97,196.94,214.28,289.62,488.1
2024-12-12,206.86,195.18,216.79,292.77,487.17
2024-12-13,206.32,195.49,221.08,290.75,502.13
2024-12-16,204.67,196.57,223.46,295.11,514.27
2024-12-17,206.0,201.76,227.57,305.03,525.02
2024-12-18,204.14,202.45,231.96,307.2,524.63
2024-12-19,206.94,202.55,236.72,318.87,524.82
2024-12-20,206.54,200.68,232.14,329.35,521.65
2024-12-23,202.33,197.58,235.42,338.02,520.66
2024-12-24,204.63,194.24,243.49,326.37,525.01
2024-12-25,206.25,196.82,241.38,310.69,522.92
2024-12-26,200.23,194.36,244.21,292.17,523.06
2024-12-27,200.91,199.19,251.4,282.35,534.77
2024-12-30,202.79,201.19,255.1,290.98,530.59
2024-12-31,202.57,205.17,252.13,301.74,524.87
